(1, 0)
(19, 8)
(0, 1)
(18, 9)
(0, 2)
(17, 9)
(0, 3)
(16, 9)
(1, 3)
(17, 8)
(1, 4)
(15, 9)
(2, 3)
(14, 9)
(2, 0)
(19, 7)
(2, 2)
(19, 6)
(1, 5)
(19, 5)
(2, 5)
(18, 6)
(1, 6)
(17, 7)
(3, 2)
(15, 8)
(4, 2)
(15, 7)
(3, 0)
(19, 4)
(1, 7)
(19, 3)
(0, 6)
(15, 6)
(2, 7)
(14, 7)
(2, 8)
(13, 7)
(3, 7)
(18, 4)
(2, 9)
(13, 9)
(3, 6)
(12, 7)
(5, 2)
(15, 5)
(4, 6)
(11, 7)
(4, 0)
(12, 6)
(6, 2)
(15, 4)
(3, 9)
(14, 5)
(5, 1)
(16, 6)
(7, 2)
(12, 9)
(8, 2)
(13, 5)
(6, 3)
(19, 2)
(4, 5)
(16, 4)
(5, 5)
(18, 2)
(6, 4)
(16, 3)
(7, 1)
(11, 8)
(9, 2)
(10, 8)
(4, 4)
(18, 1)
(7, 0)
(13, 4)
(7, 4)
(17, 1)
(8, 0)
(10, 9)
(8, 3)
(9, 8)
(6, 0)
(17, 0)
(7, 5)
(9, 7)
(9, 0)
(16, 0)
(10, 0)
(8, 7)
(8, 5)
(9, 6)
(10, 1)
(12, 4)
(3, 4)
(15, 0)
(7, 6)
(11, 4)
(6, 6)
(12, 3)
(4, 9)
(15, 1)
(6, 7)
(17, 3)
(5, 7)
(10, 4)
(4, 8)
(10, 6)
(1, 9)
(14, 1)
(11, 1)
(14, 2)
(5, 9)
(9, 4)
(0, 9)
(16, 2)
(11, 2)
(13, 2)
(12, 1)
(14, 3)
(6, 8)
(11, 5)
(12, 0)
(10, 3)
